_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
31888d5a-755d-4896-9e7a-1ccdf3dab1e9,GAC001,Adaptação curricular,1,15,53-CIÊNCIAS BIOLÓGICAS - REALEZA - 2013,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Não,Sim,2022-02-22
62bc6ad1-75a9-473d-8861-bf58e260e6e9,GAC002,Adaptação curricular,2,30,52-FÍSICA - REALEZA - 2013,0,Não,Sim,Realeza,3101,1152572,FÍSICA,NOTURNO,Não,Sim,2022-02-22
2e9adf03-5883-4164-9229-32170478ace0,GAC003,Adaptação curricular,3,45,52-FÍSICA - REALEZA - 2013,0,Não,Sim,Realeza,3101,1152572,FÍSICA,NOTURNO,Não,Sim,2022-02-22
86b9a75d-5d7a-4a96-87ec-fa65df12f4e8,GAC008,Adaptação curricular,4,60,71-MEDICINA - CHAPECÓ - 2015,0,Não,Sim,Chapecó,1411,1193759,MEDICINA,INTEGRAL,Sim,Sim,2022-02-22
b7e9e729-d669-4aa7-8823-0059571f0396,GCA001,Introdução à engenharia de alimentos,3,45,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,1,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2022-02-22
52450432-d7c6-496f-bab4-d42d307579d8,GCA001,Introdução à engenharia de alimentos,3,45,75-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2016,1,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Sim,Sim,2022-02-22
be4446d1-2368-4a49-8c27-a6ad49a65250,GCA002,Introdução à agronomia,2,30,5-AGRONOMIA - CHAPECÓ - 2010,1,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2022-02-22
d78e07ee-f42e-45c6-90c2-c9c3ad746e46,GCA002,Introdução à agronomia,2,30,32-AGRONOMIA - CERRO LARGO - 2010,1,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2022-02-22
12ad5806-766d-4383-b042-966c731f22af,GCA002,Introdução à agronomia,2,30,77-AGRONOMIA - CERRO LARGO - 2017,1,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Sim,Sim,2022-02-22
eaf07cac-1be3-4e2b-903b-9bc19af92007,GCA003,Aquicultura geral I,2,30,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010,1,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2022-02-22
