_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
8c2691bb-74c8-4e84-8c17-7d9cdcfda099,Chapecó,2017,2,GCB004,Bioquímica básica,4,60,18648,Enfermagem - 2ª Fase - Integral - 2017/2,,1400,ENFERMAGEM,2,"[{""docente"":""SERGIO LUIZ ALVES JUNIOR"",""ch_docente"":60}]",0,0,45,44,43,Encerrada,2022-02-22
d90657c5-ca2a-41b3-a501-0948bee412aa,Realeza,2017,2,GEX380,Trabalho de conclusão de curso (TCC),4,60,18640,Física - 10ª Fase - Noturno - 2017/2,,3101,FÍSICA,10,"[{""docente"":""TOBIAS HEIMFARTH"",""ch_docente"":60}]",0,0,30,4,4,Encerrada,2022-02-22
fb684d23-a41e-4294-82e3-d1c164aba19f,Realeza,2017,2,GCS238,"Meio ambiente, economia e sociedade",4,60,18641,Física - Química - 10ª Fase - Noturno - 2017/2,,3101,FÍSICA,10,"[{""docente"":""EMERSON MARTINS"",""ch_docente"":60}]",0,0,45,33,29,Encerrada,2022-02-22
7fda6aad-1203-42c1-a644-ad18fd7d1a59,Chapecó,2017,2,GCB008,Citologia e histologia básica,4,60,18646,Enfermagem - 2ª Fase - Integral - 2017/2,,1400,ENFERMAGEM,2,"[{""docente"":""LEONARDO BARBOSA LEIRIA"",""ch_docente"":60}]",0,0,45,42,42,Encerrada,2022-02-22
5f187d5d-7722-4483-8b94-2374d0b83b6e,Chapecó,2017,2,GCB113,Embriologia,2,30,18647,Enfermagem - 2ª Fase - Integral - 2017/2,,1400,ENFERMAGEM,2,"[{""docente"":""SARAH FRANCO VIEIRA DE OLIVEIRA MACIEL"",""ch_docente"":30}]",0,0,45,46,44,Encerrada,2022-02-22
5317184a-c26c-4a71-8e44-2d86dc4ab9ae,Erechim,2015,2,GLA013,Ensino de artes: conteúdo e metodologia,4,60,12503,Pedagogia - 10ª fase - Noturno - 2015/2,,5732,PEDAGOGIA,10,"[{""docente"":""LUIZ FELIPE LEAO MAIA BRANDAO"",""ch_docente"":60}]",0,0,50,27,27,Encerrada,2022-02-22
1004bd2b-2a9b-48c2-be2f-f0d8e2a831de,Erechim,2015,2,GCS010,Direitos e cidadania,4,60,12504,Pedagogia - 10ª fase - Noturno - 2015/2,,5732,PEDAGOGIA,10,"[{""docente"":""ISIS OLIVEIRA BASTOS MATOS"",""ch_docente"":60}]",0,0,55,52,47,Encerrada,2022-02-22
6aae28e5-c513-4491-be17-617f34697686,Passo Fundo,2016,1,GSA094,Processos patológicos II,8,120,13387,Medicina - 4ª Fase - Integral - 2016/1,,6400,MEDICINA,4,"[{""docente"":""DANIELA AUGUSTIN SILVEIRA"",""ch_docente"":120}]",0,0,45,41,40,Encerrada,2022-02-22
e10d4446-ccea-4b89-b790-601a88cc5892,Passo Fundo,2016,1,GSA096,Seminário Integrador IV,1,15,13391,Medicina - 4ª Fase - Integral - 2016/1,,6400,MEDICINA,4,"[{""docente"":""WAGNES BORGES FRANCESCHI"",""ch_docente"":15}]",0,0,45,35,34,Encerrada,2022-02-22
80317455-d067-45fb-9b3a-7c8c5bbe0c9a,Passo Fundo,2017,1,GCH293,Introdução à filosofia,4,60,16128,Medicina - 2ª Fase - Integral - 2017/1,,6400,MEDICINA,2,"[{""docente"":""ÉDISON MARTINHO DA SILVA DIFANTE"",""ch_docente"":60}]",0,0,40,37,37,Encerrada,2022-02-22
